"Date Made Public","Company","City","State","Type of breach","Type of organization","Total Records","Description of incident","Information Source","Source URL","Year of Breach","Latitude","Longitude"
"January 13, 2009","University of Oregon","Eugene","Oregon","PORT","EDU","0","A laptop computer containing data 
            files for Youth Transition Program (YTP) participants was stolen. 
            Those files contained names and social security numbers.","Dataloss DB","","2009","44.052069","-123.086754"
"January 13, 2009","Innodata Isogen, Inc.","Hackensack","New Jersey","PORT","BSO","0","Laptop stolen from an employee's 
            car contained names, addresses, Social Security numbers of current 
            and former employees.","Dataloss DB","","2009","40.885933","-74.043474"
"January 13, 2009","Seventh-Day Adventist Church","Silver Spring","Maryland","PORT","NGO","292","A Laptop stolen and recovered 
            contained names and Social Security numbers.","Dataloss DB","","2009","38.990666","-77.026088"
"January 13, 2009","Continental Airlines","Neward","New Jersey","PORT","BSO","230","A laptop containing fingerprints, 
            Social Security numbers, names, addresses, was stolen from a locked 
            Newark office.","Dataloss DB","","2009","40.735657","-74.172367"
"January 13, 2009","Blue Ridge Community Action","Morganton","North Carolina","PORT","NGO","300","Social Security numbers were on 
            an external computer hard drive that is missing or stolen. The hard 
            drive contained information on clients from four counties who have 
            used the organization's services in the past four or five years. The 
            external hard drive was used to back up information on clients.","Dataloss DB","","2009","35.745407","-81.684819"
"January 12, 2009","Columbus City Schools","Columbus","Ohio","PHYS","EDU","100","Columbus City Schools experienced 
            a security breach, resulting in employees' Social Security numbers 
            being at risk. CPD officers went to serve drug and auto-theft felony 
            warrants. During the arrest officers learned there might be stolen 
            personal information in the house and found personal information on 
            district employees. It is believed the suspects either stole or intercepted 
            part of a mailing from the payroll division that was en route to annuity 
            companies.","Dataloss DB","","2009","39.961176","-82.998794"
"January 11, 2009","University of Rochester","Rochester","New York","HACK","EDU","450","Personal information including 
            Social Security numbers of about 450 current and former University 
            of Rochester students was stolen by hackers this week from a UR database. 
            The information was taken from a non-academic student database and 
            copied illegally to an off-campus IP address.","Dataloss DB","","2009","43.154785","-77.615557"
"January 5, 2009","Library of Congress","Washington","Delaware","INSD","GOV","10","An employee in the human resources 
            department of the Library of Congress was charged with conspiring 
            to commit wire fraud in which he stole information on at least 10 
            employees from library databases. He passed the information to a relative, 
            who used it to open the accounts. Together, the two are alleged to 
            have bought $38,000 worth of goods through the accounts.","Dataloss DB","","2009","39.684007","-74.575988"
"January 2, 2009","Merrill Lynch","New York","New York","STAT","BSF","0","A third-party consulting services 
          firm working on behalf of Merrill Lynch reported, one of their employees 
          was burglarized. The burglars took various items, including a computer, 
          which had on it the names and Social Security numbers of current and 
          former Financial Advisors and some applicants for employment.","Dataloss DB","","2009","40.714269","-74.005973"
"December 31, 2008","New Hampshire's Lakes Region General Hospital","Laconia","New Hampshire","PHYS","MED","1,500","A package containing personnel 
          medical information on patients is missing. UPS recently shipped the 
          parcel from a Woburn, Mass. central processing agent to the hospital, 
          but the package never arrived. Information contained in the package 
          includes patient names, possible Social Security numbers, dates of service 
          and diagnosis code numbers for different diagnosis or medical procedures.","Dataloss DB","","2008","43.527855","-71.470351"
"December 25, 2008","Pulte Homes Las Vegas Division","Las Vegas","Nevada","PHYS","BSO","16,000","A box containing computer backup 
            tapes was stolen. Computer tapes holding private customer information 
            including names, addresses, driver's license numbers and financial 
            account numbers were stolen from a Pulte Homes office in Las Vegas.","Dataloss DB","","2008","36.114646","-115.172816"
"December 24, 2008","Federal Emergency Management Agency","New Orleans","Louisiana","DISC","GOV","16,857","An unauthorized breach of private 
          information resulted in the information release of 16,857 names, Social 
          Security numbers, phone numbers, and other private details of people 
          who had applied for benefits. The information was flashed on a pair 
          of privately run Web sites, but for how long was unclear.","Dataloss DB","","2008","29.954648","-90.075072"
"December 23, 2008","Cedars-Sinai Medical Center","Los Angeles","California","INSD","MED","1,000","A former billing department employee 
          is in custody on $895,000 bail for allegedly stealing the personal information 
          of 1,000 hospital patients and using it to bilk insurance companies.","Dataloss DB","","2008","34.052234","-118.243685"
"December 23, 2008","Ohio University-Chillicothe","Chillicothe","Ohio","PORT","EDU","38","An external computer hard drive 
          was discovered missing or stolen. Current and former wellness center 
          members' Social Security numbers were on the hard drive.","Dataloss DB","","2008","39.333120","-82.982402"
"December 22, 2008","University of North Carolina School of the Arts","Winston-Salem","North Carolina","DISC","EDU","2,700","Names and Social Security numbers 
            may have been accidentally exposed in a security breach involving 
            a university computer server. The security breach occurred in May 
            of 2006 and affected students who were enrolled between 2003 and 2006.","Dataloss DB","","2008","36.099860","-80.244216"
"December 21, 2008","Connecticut Department of Motor  Vehicles","Wethersfield","Connecticut","PHYS","GOV","155","The Connecticut Department of 
            Motor Vehicles is notifying customers that their personal information 
            may have been on a computer stolen from a mobile service center vehicle 
            while it was being repaired. Personal data on the computer included 
            names, addresses, date of birth, license numbers, photo and signature.","Media","","2008","41.714267","-72.652592"
"December 19, 2008","Austin Peay State University","Clarksville","Tennessee","PHYS","EDU","750","Two computers containing personal 
          information were stolen. The computers contained names and Social Security 
          numbers of students.","Dataloss DB","","2008","36.529771","-87.359453"
"December 18, 2008","Bill Dube Ford/Toyota","Dover","New Hampshire","PORT","BSR","10,000","Personal information from thousands 
          of people in New Hampshire and Massachusetts has been compromised after 
          a data backup tape was stolen. The data include names, addresses, Social 
          Security numbers and driver's license information.","Dataloss DB","","2008","43.197862","-70.873670"
"December 15, 2008","University of North Carolina","Greensboro","North Carolina","HACK","EDU","0","A breach of the accounting computer 
            systems at UNC-Greensboro may have exposed personal employee information 
            to intruders. The breach was detected on a computer in the Accounting 
            Services office, in the form of a virus that may have allowed unauthorized 
            access.","Dataloss DB","","2008","36.072635","-79.791975"
"December 15, 2008","Louisiana Department of Revenue","Baton Rouge","Louisiana","DISC","GOV","299","The Louisiana Department of Revenue 
          accidentally divulged the personal information of taxpayers to other 
          people with tax debts. The department says letters mailed to taxpayers 
          who owe money also listed the name, address, Social Security number 
          and debt for a different taxpayer on the other side of the paper.","Dataloss DB","","2008","30.450746","-91.154551"
"December 14, 2008","Zyacorp Entertainment Cinemagic Stadium","Merrimack","New Hampshire","HACK","BSR","0","Hackers broke into a Merrimack movie 
          theater's servers and stole customers' credit card information.","Dataloss DB","","2008","42.865086","-71.493400"
"December 11, 2008","Hewlett-Packard, Symantec","Houston","Texas","PORT","BSR","1,000","Several thousand employee records 
          were contained on a laptop that was stolen from an HP employee based 
          in the Houston area. At first HP thought that there was no sensitive 
          information on the laptop, but after looking into back-up files, the 
          company realized that it contained names and Social Security numbers 
          of current and former employees.","Dataloss DB","","2008","29.763284","-95.363272"
"December 5, 2008","Cal Poly Pomona","Pomona","California","DISC","EDU","675","A student informed the university 
          that he accessed an Excel file containing his personal information and 
          others while on the Internet. The information includes names, addresses, 
          phone numbers and Social Security numbers.","Dataloss DB","","2008","34.055289","-117.752279"
"December 3, 2008","Central California Appellate Program","Sacramento","California","PORT","NGO","0","A backup computer disk was in 
            a safe taken by thieves who broke into a storage facility. Besides 
            Social Security numbers, the disk contained tax identification numbers, 
            addresses, telephone numbers and e-mail addresses.","Dataloss DB","","2008","38.581572","-121.494400"
"December 2, 2008"," Florida Agency for Workforce Innovation","Tallahassee","Florida","DISC","GOV","259,193","Employment information and more 
            than a quarter million Social Security numbers were posted online. 
            The breach occurred when several thousand Excel and text files containing 
            millions of employment records were posted in the course of developing 
            a new website.","Dataloss DB","","2008","30.438256","-84.280733"
"November 25, 2008","Weber State University","Ogden","Utah","PHYS","GOV","70","In a break in, thieves made off 
            with approximately $1,600 in cash, three computers and a postal scale. 
            Hard-copy records of post office box rental information was also taken 
            from the center. Some of the stolen rental cards contained names, 
            addresses and Social Security numbers for members of the campus community 
            who rented post office boxes in the union building during the past 
            eight years.","Dataloss DB","","2008","41.223000","-111.973830"
"November 22, 2008","Maryland Department of the Environment","Baltimore","Maryland","PORT","GOV","1,367","Two laptop computers containing 
            the names and Social Security numbers of people formerly employed 
            by the Maryland Department of the Environment were stolen.","Dataloss DB","","2008","39.290385","-76.612189"
"November 21, 2008","Jackson-Madison County School System","Jackson","Tennessee","PORT","EDU","200","A computer disk containing Social 
            Security numbers and test scores was stolen from a principal's car.","Dataloss DB","","2008","35.614517","-88.813947"
"November 21, 2008","B.J. Accessories and Tax Preparation","New Bern","North Carolina","STAT","BSO","70","A computer was stolen containing 
            identity information on about 70 people. Information on the computer 
            may have had Social Security Numbers on it.","Dataloss DB","","2008","35.108493","-77.044114"
"November 20, 2008","Law office of former Texas attorney","Rio Grande Valley","Texas","STAT","BSO","627","An individual purchased a used 
            computer and memory stick from a pawn shop. He discovered sensitive 
            information on the computer and traced it to the law office of a Texas 
            attorney who no longer practices law. The attorney, Aaron Pena, Jr., 
            is now a Texas State Representative. His spokesperson told news sources 
            that the computer's hard drive had been wiped before the machine was 
            donated to charity. The news team visited other pawn shops and found 
            several other used computers which also contained sensitive personal 
            information.","Media","","2008","26.128497","-97.524724"
"November 12, 2008","Pinellas County and Florida state agency offices","Pinellas County","Florida","PHYS","GOV","0","Documents with Social Security 
            numbers, medical information and other legally protected data were 
            found in trash containers at government buildings. Also found were 
            hundreds of improperly discarded records were found that included 
            medical data, privileged communications between attorneys and clients, 
            juvenile defendant records and child abuse materials.","Media","","2008","27.876394","-82.777858"
"November 11, 2008","Sinclair Community College","Dayton","Ohio","DISC","EDU","1,000","The names and Social Security 
            numbers of almost 1,000 employees were inadvertently left open to 
            public view on the Internet for about a year. A spreadsheet with information 
            on people who worked at the school in 2000 and 2001 was placed in 
            a computer folder by an employee. The employee didn't realize the 
            folder could be viewed on the Internet.","Dataloss DB","","2008","39.758948","-84.191607"
"November 9, 2008","Texas A&M University","Corpus Christi","Texas","DISC","EDU","1,430","Through an Internet search on 
            the university's Web site, a student viewed a document that listed 
            admissions applicants from 2005. The page listed names and Social 
            Security numbers.","Dataloss DB","","2008","27.800583","-97.396381"
"November 9, 2008","City of Charlottesville","Charlottesville","North Carolina","PORT","GOV","25,000","Two laptops containing voter registration 
            information were stolen from a building at Tonsler Park in Charlottesville 
            sometime after the polls closed. The information on the computers 
            included names, addresses, date of birth and DMV customer number.","Media","","2008","36.097372","-79.868181"
"November 7, 2008","Christus Health Care","Houston","Texas","PORT","MED","0","Two computer back-up tapes were 
            stolen. Someone broke into a car in a Houston parking lot and took 
            the tapes. The information on the tapes included patient names, Social 
            Security numbers, demographic information, and in some cases, diagnosis 
            codes.","Dataloss DB","","2008","29.763284","-95.363272"
"November 7, 2008","Arizona's Department of Economic Security","Phoenix","Arizona","PORT","GOV","40,000","(DES) is notifying the families 
            of about 40,000 children that their personal data may have been compromised 
            following the theft of several hard drives from a commercial storage 
            facility. The information stored on the stolen disks included the 
            names, addresses and phone numbers of families whose children were 
            referred to the DES for early intervention services over the past 
            several years. In the cases of families that had applied for and received 
            services from the agency, their records also included Social Security 
            numbers.","Dataloss DB","","2008","33.448377","-112.074037"
"November 6, 2008","Harvard Law School","Cambridge","Massachusetts","PORT","EDU","21,000","A computer tape containing Social 
            Security numbers, addresses, and financial information was either 
            lost or stolen. About 8,000 records of present and former clients 
            contained Social Security numbers another 13,000 had other identification 
            information that was contained on the tape.","Dataloss DB","","2008","42.375097","-71.105608"
"November 3, 2008","Genesee Intermediate School District","Mundy Township","Michigan","PORT","EDU","6,000","A laptop stolen had been used              for background checks on school workers and included their fingerprints              and some personal information such as their names, addresses, birthdates              and race. The laptop did not have Social Security numbers and the              data was stored in files that require a password to be opened.","Media","","2008","42.906911","-83.741163"
"November 1, 2008","Seattle School District","Seattle","Washington","DISC","EDU","5,000","Personal information, including 
            Social Security numbers, was inadvertently released to a local union 
            representing some district workers. The 5,000 employees are more than 
            half the district's work force. Included were about 700 members of 
            International Union of Operating Engineers Local 609, which represents 
            custodial, nutritional services, security- and alarm-monitoring workers.","Dataloss DB","","2008","47.606210","-122.332071"
"November 1, 2008","Veterans Affairs Medical Center","Portland","Oregon","DISC","MED","1,600","Personal information, including 
            some Social Security numbers, of patients at the Veterans Affairs 
            Medical Center in Portland was inadvertently posted on a public Web 
            site.","Dataloss DB","","2008","45.523452","-122.676207"
"November 1, 2008","Baylor Health Care System Inc.","Dallas","Texas","PORT","MED","100,000","A laptop computer containing limited 
            health information on 100,000 patients was stolen from an employee's 
            car. Included were 7,400 patients whose Social Security numbers were 
            stored on the computer.","Dataloss DB","","2008","32.802955","-96.769923"
"October 27, 2008","Shell Oil Co.","Houston","Texas","INSD","BSR","0","An IT contractor used the personal 
          data of four Shell workers as part of an unemployment insurance claims 
          scam. Employees of a third-party contractor misused information stored 
          in a corporate database. The database includes records for a majority 
          of current and former Shell employees. Misused data included names, 
          dates of birth and Social Security numbers.","Dataloss DB","","2008","29.763284","-95.363272"
"October 23, 2008","Medical Mutual of Ohio","Columbus","Ohio","PORT","MED","36,000","Eleven computer disks containing 
            personal information on Ohio retirees and employees are missing, disks 
            are most likely somewhere in the postal system. It seems insufficient 
            postage was placed on the envelopes [containing the disks], therefore 
            they are believed that they are likely to still be safe within the 
            postal system.","Dataloss DB","","2008","39.961176","-82.998794"
"October 22, 2008","KRM Management","Fresno","California","PORT","BSO","5,700","Offices of KRM Management were 
            broken into and stole two dozen computers, on one of those hard drives 
            were Social Security numbers, birthdates and addresses. One missing 
            laptop computer is causing the most concern. It contained sensitive 
            and confidential information on close to 5700 city employees who filed 
            worker's comp claims dating back to 1973. Hundreds are or were police 
            officers.","Dataloss DB","","2008","36.747727","-119.772366"
"October 19, 2008","Mary Washington Hospital","Fredericksburg","Virginia","DISC","MED","803","A security breach in an online 
            computer system exposed the private medical information of some of 
            its maternity patients. Social Security numbers, phone numbers, address, 
            insurance carrier, birth dates and doctor's names were exposed.","Dataloss DB","","2008","38.303184","-77.460540"
"October 18, 2008","City of Goodyear","Goodyear","Arizona","PHYS","GOV","570","A list of their Social Security 
            numbers was stolen from the car of a staffer who had taken the data 
            home. Burglars took the list while the employee's car was parked at 
            her home.","Dataloss DB","","2008","33.435320","-112.358214"
"October 17, 2008","The Planet","Houston","Texas","UNKN","BSO","25,000","A security breach that may have 
            affected the customer portal account and server passwords, was discovered. 
            The Planet identified the methods by which the systems were compromised 
            and have closed those holes. Only two user accounts were definitely 
            affected, and no credit card information is believed to have been 
            compromised.","Media","","2008","29.763284","-95.363272"
"October 15, 2008","City of Indianapolis","Indianapolis","Indiana","DISC","GOV","3,300","A spreadsheet containing the names, 
            Social Security numbers and dates of birth for people charged with 
            minor offenses in 2006 and 2007 was accidentally posted on the city 
            of Indianapolis' new Web site.","Dataloss DB","","2008","39.767016","-86.156255"
"October 13, 2008","Southwest Mississippi Community College","Summitt","Mississippi","DISC","EDU","1,000","Former Southwest Mississippi Community 
            College students had some of their personal information made available 
            temporarily on the Internet. The breach involved names, addresses, 
            and in some cases, Social Security numbers.","Dataloss DB","","2008","31.283787","-90.468432"
"October 7, 2008","University of North Dakota Alumni Association","Grand Forks","North Dakota","PORT","EDU","84,554","A laptop computer containing sensitive 
          personal and financial information on alumni, donors and others was 
          stolen from a vehicle belonging to a software vendor retained by the 
          UND. The information, included individuals' credit card and Social 
          Security numbers,","Dataloss DB","","2008","47.925257","-97.032855"
"October 7, 2008","West Virginia Dept. of Administration","Charleston","West Virginia","PORT","GOV","535","A laptop was taken from an auditor's 
          vehicle. It contains payroll and benefits information for 425 employees 
          of the state Insurance Commission and 110 employees of the Department 
          of Health and Human Resources' Bureau of Medical Services and Child 
          Support Enforcement Division. The information includes full names or 
          first names and Social Security numbers.","Dataloss DB","","2008","38.349820","-81.632623"
"September 30, 2008","Dormitory Authority's","New York City","New York","PORT","GOV","3,600","On the trip from the Albany headquarters 
            of this New York based construction organization, to their data center 
            in New York City 5 tapes had fallen out of their yellow mailing envelope. 
            The tapes contained personal private or sensitive information of over 
            600 employees and approximately 3,000 vendors. Social Security numbers 
            and tax ID numbers were compromised.","Media","","2008","40.714269","-74.005973"
"September 30, 2008","University of Indianapolis","Indianapolis","Indiana","HACK","EDU","11,000","A hacker attacked the University 
            of Indianapolis' computer system and gained access to personal information 
            and Social Security numbers for 11,000 students, faculty and staff,","Dataloss DB","","2008","39.767016","-86.156255"
"September 30, 2008","Blue Cross & Blue Shield","Baton Rouge","Louisiana","DISC","MED","1,700","A document containing the personal 
            data was accidentally attached to a general e-mail being sent out 
            to brokers notifying them of a software upgrade. Information such 
            as Social Security numbers, phone numbers and addresses were exposed.","Dataloss DB","","2008","30.450746","-91.154551"
"September 26, 2008","Fort Wayne Community Schools","Fort Wayne","Indiana","UNKN","EDU","3,348","A man arrested on forgery and 
            counterfeiting charges may have used some employees' personal information 
            in his possession. A 94-page document containing personal information 
            belonging to 3,348 FWCS employees was found by police. The information 
            included names, Social Security numbers, dates of birth and salary.","Dataloss DB","","2008","41.130604","-85.128860"
"September 22, 2008","Sonoma State University","Sonoma","California","DISC","EDU","600","Social Security numbers have been 
            exposed to the public through an internal department website.","Dataloss DB","","2008","38.291859","-122.458036"
"September 19, 2008","Texas A&M University","College Station","Texas","HACK","EDU","31","A class roster was among some 
            documents located on a computer server that was hacked. The class 
            roster was for Economics-2301 held during the first summer session 
            of 2004. Social Security numbers were part of the information on those 
            documents.","Dataloss DB","","2008","30.627977","-96.334407"
"September 13, 2008","State Farm Insurance","Surprise","Arizona","INSD","BSO","137","An employee of State Farm fraudulently 
            used customer information to open credit-card accounts. Customers' 
            Social Security numbers, driver's license numbers, addresses and possibly 
            financial account numbers could have been accessed.","Dataloss DB","","2008","33.630594","-112.333216"
"September 12, 2008","Tennessee State University","Nashville","Tennessee","PORT","EDU","9,000","A flash drive containing the financial 
            information and Social Security numbers of students was reported missing. 
            The flash, which contained financial records of TSU students dating 
            back to 2002.","Dataloss DB","","2008","36.165890","-86.784443"
"September 11, 2008","Marshall University","Charleston","West Virginia","DISC","EDU","198","The names and Social Security 
            numbers of Marshall University students were openly available on the 
            Internet.","Dataloss DB","","2008","38.349820","-81.632623"
"September 10, 2008","Ivy Tech Community College","Bloomington","Indiana","DISC","EDU","0","An employee of the college used 
            an internal file sharing system to send a file that consisted of students 
            enrolled in the spring 2008 semester for distance education courses. 
            The employee intended to share the file with a single employee of 
            the college. Instead, due to a clerical error, the invitation to view 
            the file was sent to a list of all Indianapolis region employees.","Dataloss DB","","2008","39.165325","-86.526386"
"September 9, 2008","University of Pittsburgh","Pittsburgh","Pennsylvania","PORT","EDU","0","A laptop containing personal information 
            including names and Social Security numbers was stolen. The laptop, 
            stolen from Mervis Hall was being used by an employee to conduct surveys 
            of alumni that are used in college rankings.","Dataloss DB","","2008","40.440625","-79.995886"
"September 5, 2008","East Burke High School","Morganton","North Carolina","DISC","EDU","163","For the past five years, East Burke            High School's web site exposed files containing personal information            including names, Social Security numbers, addresses, phone numbers,            job titles, email addresses and unlisted phone numbers of teachers,            bus drivers, custodians and other staff members on the Internet.","Dataloss DB","","2008","35.745407","-81.684819"
"August 30, 2008","Ohio Police & Fire Pension System","Columbus","Ohio","INSD","GOV","13,000","A former mailroom supervisor at 
            the Ohio Police & Fire Pension System forwarded the names, addresses 
            and Social Security numbers from his work e-mail address to his personal 
            e-mail address before quitting his job. The file contains information 
            for 13,000 of the approximately 24,000 retired members of the Ohio 
            Police & Fire Pension System, most of whom are former police officers.","Dataloss DB","","2008","39.961176","-82.998794"
"August 30, 2008","Southwest Medical Association","Las Vegas","Nevada","PHYS","MED","0","Thousands of medical charts were 
            found in an abandoned storage unit that was purchaced for $25.","Media","","2008","36.114646","-115.172816"
"August 29, 2008","Louisiana Real Estate Commission","Baton Rouge","Louisiana","DISC","GOV","13,000","A glitch during a computer upgrade 
            caused the names, addresses and Social Security numbers of licensed 
            agents to be exposed on the Internet. The commission was transferring 
            its online programs to a new server when the sensitive electronic 
            file, which is not normally posted on the Internet, was left unsecured 
            and slipped in among the commission materials that could be seen online.","Dataloss DB","","2008","30.450746","-91.154551"
"August 28, 2008","Reynoldsburg Ohio City School District","Reynoldsburg","Ohio","PORT","EDU","4,259","Reynoldsburg school officials were 
          phasing out the use of Social Security numbers in the district's student 
          database when someone stole a laptop containing that information. The 
          district laptop, taken from a computer technician's car, also included 
          names, addresses and phone numbers for two-thirds of the district's 
          enrollment.","Dataloss DB","","2008","39.954786","-82.812119"
"August 27, 2008","YMCA","Champaign","Illinois","UNKN","NGO","0","Customers who paid for items at 
            a YMCA fund-raiser with checks or credit cards are being warned about 
            a burglary at which credit and debit card numbers were taken.","Media","","2008","40.116420","-88.243383"
"August 27, 2008","Kansas State University","Manhattan","Kansas","PHYS","EDU","86","An instructor for classes offered 
          through the Division of Continuing Education, taught through the UFM 
          Community Learning Center, reported an overnight theft of numerous items 
          from a car, which was parked outside a Manhattan residence. Items taken 
          included a backpack with a list of names and Social Security numbers 
          of 86 K-State students who had taken that instructor's classes 
          from fall 2007 through summer 2008.","Dataloss DB","","2008","39.183608","-96.571669"
"August 26, 2008","Pennsylvania Department of Public Welfare","Harrisburg","Pennsylvania","DISC","GOV","2,845","Paper jams in a state Department 
            of General Services mail inserter caused benefit renewal packets to 
            go to the wrong Pennsylvania welfare client's homes. Nearly half of 
            them included the intended recipients' Social Security numbers.","Dataloss DB","","2008","40.273700","-76.884418"
"August 26, 2008","Prince William County Public Schools","Manassas","Virginia","DISC","EDU","2,600","Personal information of some students, 
          employees and volunteers was accidentally posted online by a Prince 
          William County Public Schools employee. Information for more than 2,600 
          people was exposed through a file-sharing program by an employee working 
          from home on a personal computer. The compromised information included: 
          names, addresses and student identification numbers of more than 1,600 
          students names and Social Security numbers of 65 employees other confidential 
          information for about 250 employees and the names, addresses and e-mail 
          addresses of more than 700 volunteers.","Dataloss DB","","2008","38.750949","-77.475267"
"August 22, 2008","Liberty McDonald's Restaurant","Liberty","Kentucky","INSD","BSR","0","An employee at a Liberty McDonald's 
            restaurant, took credit or debit cards from drive-through customers 
            and used a device she had hidden near the window to swipe the cards 
            to record their numbers. The information on the device then was downloaded 
            and used to make new cards either in the names of the persons to which 
            the original cards belonged or in the names of the perpetrators.","Media","","2008","37.318406","-84.939398"
"August 19, 2008","Kingston Tax Service","Kingston","Washington","PORT","BSO","0","Office computers were stolen from 
            the business. On each of the computers is information which can be 
            used by identity thieves including credit card information and Social 
            Security numbers.","Dataloss DB","","2008","47.798707","-122.498192"
"August 18, 2008","Keller High School","Keller","Texas","DISC","EDU","45","Keller family's received a mailing 
            from Keller High School last week. Upon opening it, they found two 
            enrollment forms. One was an emergency-care authorization form. But 
            the other was a student information form containing another classmate's 
            Social Security number, student ID number, home address, phone number 
            and contact information for his parents at home and at work. They 
            quickly realized that their child's private information, which 
            they used to set up their college fund and other accounts, was mailed 
            to someone else.","Dataloss DB","","2008","32.934570","-97.251682"
"August 14, 2008","Wuesthoff Medical Center","Rockledge","Florida","HACK","MED","500","Hundreds of people in Brevard County 
          found out their personal information was stolen. Names, Social Security 
          numbers and even personal medical information were posted on the Internet.","Dataloss DB","","2008","28.319848","-80.729026"
"August 13, 2008","Charter Communications","Greenville","South Carolina","PORT","BSO","9,000","Computers were stolen from the company's 
          Greenville offices and contained records of more than 9,000 Charter 
          employees nationwide. The information included Social Security numbers, 
          dates of birth and driver's license numbers.","Dataloss DB","","2008","34.852618","-82.394010"
"August 12, 2008","Wells Fargo","Minneapolis","Minnesota","HACK","BSF","5,000","Wells Fargo is notifying customers 
            that hackers have accessed their confidential personal data by illegally 
            using its access codes. Personal information including names, addresses, 
            dates of birth, Social Security numbers, driver's licence numbers 
            and in some cases, credit account information was accessed by unauthorised 
            persons.","Dataloss DB","","2008","44.979965","-93.263836"
"August 12, 2008","Child Protective Services","San Antonio","Texas","PHYS","GOV","0","Hundreds of private, personal 
            records were discarded with the trash, including records detailing 
            medical histories of clients with diseases and drug addictions. Documents 
            showing sexual abuse and information that could be used for identity 
            theft, such as Social Security numbers, were also found in the trash.","Media","","2008","29.424122","-98.493628"
"August 7, 2008","Harris County Hospital","Houston","Texas","PORT","MED","1,200","A lower-level Harris County Hospital 
            District administrator downloaded medical and financial records for 
            patients with HIV, AIDS and other medical conditions onto a flash 
            drive that later was lost or stolen. This may have been a violation 
            of law. The data on the device included the patients' names, medical 
            record numbers, billing codes, the facilities where the office visits 
            occurred and other billing information. It also included the patients' 
            Medicaid or Medicare numbers, which can indicate their Social Security 
            numbers or those of their spouses.","Dataloss DB","","2008","29.763284","-95.363272"
"August 5, 2008","The Clear Program Fast-pass Registered Travel program for airline passengers, operated by Verified Identity Pass for the U.S. Transportation Security Admin.","New York","New York","PORT","BSO","33,000","A laptop containing personal information 
          for about 33,000 people was reported stolen in a possible security breach 
          for the Clear Program. The laptop was stolen at San Francisco International 
          Airport. The stolen information included names, addresses, dates of 
          birth, and driver's license numbers or passport numbers.","Media","","2008","40.714269","-74.005973"
"August 4, 2008","Arapahoe Community College","Littleton","Colorado","PORT","EDU","15,000","A contractor who manages the student 
          information database had a flash drive lost or stolen. Information on 
          the drive included the names, addresses, credit card numbers and Social 
          Security numbers.","Dataloss DB","","2008","39.613321","-105.016650"
"August 3, 2008","Oakland School District","Oakland","California","STAT","EDU","0","Thieves stole 10 desktop computers 
            containing employees' personal information from the Oakland school 
            district's main office. District officials are still determining what 
            information was on each computer, but the machines may contain personal 
            information provided to the district when employees were hired. It 
            is unknown how many employees' records were on the computers.","Media","","2008","37.804372","-122.270803"
"September 2, 2008","Clarkson University","Potsdam","New York","DISC","EDU","245","A non-malicious student intruder 
            gained access to a restricted server and promptly reported the vulnerability 
            to campus authorities. Approximately 245 employees and former employees 
            had personal information, including name, social security number, 
            and date of birth, compromised during the security breach. The file 
            containing personal information was a record of employees that had 
            university credit cards known as purchase cards (or p-cards). Any 
            university member requesting a p-card must provide their Social Security 
            number and date of birth on the application form.","Dataloss DB","","2008","44.669781","-74.981308"
"August 1, 2008","Tennessee Valley Authority","Knoxville","Tennessee","PORT","GOV","0","A laptop stolen from TVA contained 
            Social Security numbers and reflects generally inadequate policies 
            and procedures for tracking computers at the agency. The laptop was 
            one of approximately 26 computer and computer-related items stolen 
            from TVA between May 26, 2006, and Nov. 30, 2007, according to the 
            IG, although the report stated it was unclear whether sensitive information 
            was present on any of the laptops or PCs stolen from TVA.","Media","","2008","35.960638","-83.920739"
"July 31, 2008","City of Yuma","Yuma","Arizona","DISC","GOV","300","The Social Security numbers of about 
          300 city of Yuma employees were unintentionally released 
          in an e-mail sent to city administrative personnel.","Dataloss DB","","2008","32.725325","-114.624397"
"July 29, 2008","Blue Cross and Blue Shield of Georgia","Atlanta","Georgia","DISC","MED","202,000","Benefit letters containing personal 
            and health information were sent to the wrong addresses last week. 
            The letters included the patient's name and ID number, the name of 
            the medical provider delivering the service, and the amounts charged 
            and owed. A small percentage of letters also contained the patient's 
            Social Security numbers.","Dataloss DB","","2008","33.748995","-84.387982"
"July 29, 2008","Anheuser-Busch","St. Louis","Missouri","PORT","BSR","0","A laptop containing personal information 
            of current and former employees, including some from Hampton Roads, 
            was stolen from a St. Louis-area Anheuser-Busch office. Information 
            contained on the computer included employees' Social Security numbers, 
            home addresses and marital status.","Dataloss DB","","2008","38.646991","-90.224967"
"July 24, 2008","Village of Tinley Park","Chicago","Illinois","PORT","GOV","20,400","Computer backup tapes that contain 
          thousands of Social Security numbers of Tinley Park residents have been 
          lost. The tapes containing information from as long ago as 15 years 
          were lost while being transferred from the village hall to another site 
          within the Chicago suburb.","Dataloss DB","","2008","41.850033","-87.650052"
"July 24, 2008","Hillsborough Community College","Tampa ","Florida","PHYS","EDU","2,000","Hillsborough Community College warned 
          its employees to monitor their bank accounts because an HCC programmer's 
          laptop was stolen from a hotel parking lot in Georgia. The programmer 
          had been working on a payroll project for a group of employees using 
          their names, bank-routing numbers, retirement information and Social 
          Security numbers.","Dataloss DB","","2008","27.947522","-82.458428"
